电影名称,导演,主演,评分,评分人数,引述
幽灵公主,宫崎骏 Hayao Miyazaki,松田洋治 Yôji Matsuda / 石田百合...,8.8,231014,人与自然的战争史诗。
让子弹飞,姜文 Wen Jiang,姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...,8.7,613294,你给我翻译翻译，神马叫做TMD的惊喜。
第六感,M·奈特·沙马兰 M. Night Shyamalan,布鲁斯·威利斯 Bruce Wi...,8.8,230982,深入内心的恐怖，出人意料的结局。
阳光灿烂的日子,姜文 Wen Jiang,夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao,8.7,265709,一场华丽的意淫。
大闹天宫,万籁鸣 Laiming Wan / 唐澄 Cheng  Tang,邱岳峰 Yuefeng Qiu /...,9.2,95940,经典之作，历久弥新。
大鱼,蒂姆·波顿 Tim Burton,伊万·麦克格雷格 Ewan McGregor / 阿...,8.7,248080,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
重庆森林,王家卫 Kar Wai Wong,林青霞 Brigitte Lin / 金城武 Takeshi K...,8.6,323082,寂寞没有期限。
射雕英雄传之东成西就,刘镇伟 Jeffrey Lau,梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...,8.7,270829,百看不厌。 
禁闭岛,Martin Scorsese,莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...,8.6,351763,昔日翩翩少年，今日大腹便便。
甜蜜蜜,陈可辛 Peter Chan,黎明 Leon Lai / 张曼玉 Maggie Cheung / ...,8.7,228685,相逢只要一瞬间，等待却像是一辈子。
上帝之城,Kátia Lund / Fernando Meirelles,Alexandre Rodrigues / Lea...,8.9,155819,被上帝抛弃了的上帝之城。
阳光姐妹淘,姜炯哲 Hyeong-Cheol Kang,沈恩京 Eun-kyung Shim / 闵孝琳 Hy...,8.8,263287,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
致命ID,James Mangold,John Cusack / Ray Liotta / Amanda Peet,8.6,311738,最不可能的那个人永远是最可能的。
一一,杨德昌 Edward Yang,吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...,8.9,152585,我们都曾经是一一。
告白,中岛哲也 Tetsuya Nakashima,松隆子 Takako Matsu / 冈田将生 ...,8.7,335110,没有一人完全善，也没有一人完全恶。
狩猎,托马斯·温特伯格 Thomas Vinterberg,麦斯·米科尔森 Mads Mik...,9.0,123160,人言可畏。
布达佩斯大饭店,韦斯·安德森 Wes Anderson,拉尔夫·费因斯 Ralph Fiennes / ...,8.7,300228,小清新的故事里注入了大历史的情怀。
加勒比海盗,戈尔·维宾斯基 Gore Verbinski,约翰尼·德普 Johnny Depp / ...,8.6,335706,约翰尼·德普的独角戏。
末代皇帝,贝纳尔多·贝托鲁奇 Bernardo Bertolucci,尊龙 John Lone / 陈...,8.9,159029,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
断背山,李安 Ang Lee,希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...,8.6,311740,每个人心中都有一座断背山。
爱在黎明破晓前,理查德·林克莱特 Richard Linklater,伊桑·霍克 Ethan Hawke ...,8.7,214898,缘分是个连绵词，最美不过一瞬。
阿凡达,詹姆斯·卡梅隆 James Cameron,萨姆·沃辛顿 Sam Worthington ...,8.6,518298,绝对意义上的美轮美奂。
摩登时代,查理·卓别林 Charles Chaplin,查理·卓别林 Charles Chaplin ...,9.2,85480,大时代中的人生，小人物的悲喜。
猫鼠游戏,史蒂文·斯皮尔伯格 Steven Spielberg,莱昂纳多·迪卡普里奥 L...,8.7,215810,骗子大师和执著警探的你追我跑故事。 
